timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1420395839,-69.58
2026-07-14T23:00:46.128620+00:00,1420397303,-69.572
2026-07-14T23:00:46.128620+00:00,1420398768,-69.552
2026-07-14T23:00:46.128620+00:00,1420400233,-69.583
2026-07-14T23:00:46.128620+00:00,1420401698,-69.542
2026-07-14T23:00:46.128620+00:00,1420403163,-69.583
2026-07-14T23:00:46.128620+00:00,1420404628,-69.549
2026-07-14T23:00:46.128620+00:00,1420406092,-69.607
2026-07-14T23:00:46.128620+00:00,1420407557,-69.658
2026-07-14T23:00:46.128620+00:00,1420409022,-69.615
2026-07-14T23:00:46.128620+00:00,1420410487,-69.541
2026-07-14T23:00:46.128620+00:00,1420411952,-69.569
2026-07-14T23:00:46.128620+00:00,1420413417,-69.651
2026-07-14T23:00:46.128620+00:00,1420414882,-69.646
2026-07-14T23:00:46.128620+00:00,1420416346,-69.625
2026-07-14T23:00:46.128620+00:00,1420417811,-69.62
2026-07-14T23:00:46.128620+00:00,1420419276,-69.722
2026-07-14T23:00:46.128620+00:00,1420420741,-69.621
2026-07-14T23:00:46.128620+00:00,1420422206,-69.636
2026-07-14T23:00:46.128620+00:00,1420423671,-69.664
2026-07-14T23:00:46.128620+00:00,1420425135,-69.607
2026-07-14T23:00:46.128620+00:00,1420426600,-69.623
2026-07-14T23:00:46.128620+00:00,1420428065,-69.589
2026-07-14T23:00:46.128620+00:00,1420429530,-69.672
2026-07-14T23:00:46.128620+00:00,1420430995,-69.684
2026-07-14T23:00:46.128620+00:00,1420432460,-69.65
2026-07-14T23:00:46.128620+00:00,1420433925,-69.59
2026-07-14T23:00:46.128620+00:00,1420435389,-69.584
2026-07-14T23:00:46.128620+00:00,1420436854,-69.613
2026-07-14T23:00:46.128620+00:00,1420438319,-69.668
2026-07-14T23:00:46.128620+00:00,1420439784,-69.597
2026-07-14T23:00:46.128620+00:00,1420441249,-69.634
2026-07-14T23:00:46.128620+00:00,1420442714,-69.526
2026-07-14T23:00:46.128620+00:00,1420444178,-69.588
2026-07-14T23:00:46.128620+00:00,1420445643,-69.612
2026-07-14T23:00:46.128620+00:00,1420447108,-69.62
2026-07-14T23:00:46.128620+00:00,1420448573,-69.661
2026-07-14T23:00:46.128620+00:00,1420450038,-69.668
2026-07-14T23:00:46.128620+00:00,1420451503,-69.653
2026-07-14T23:00:46.128620+00:00,1420452967,-69.592
2026-07-14T23:00:46.128620+00:00,1420454432,-69.649
2026-07-14T23:00:46.128620+00:00,1420455897,-69.685
2026-07-14T23:00:46.128620+00:00,1420457362,-69.623
2026-07-14T23:00:46.128620+00:00,1420458827,-69.655
2026-07-14T23:00:46.128620+00:00,1420460292,-69.658
2026-07-14T23:00:46.128620+00:00,1420461757,-69.651
