timestamp_utc,frequency_hz,power_db
2026-03-30T07:47:37.663686+00:00,1419900294.4944944,-32.46791617904511
2026-03-30T07:47:37.663686+00:00,1419902296.4964964,-33.80432810921406
2026-03-30T07:47:37.663686+00:00,1419904298.4984984,-32.77597752176036
2026-03-30T07:47:37.663686+00:00,1419906300.5005004,-35.02354156934247
2026-03-30T07:47:37.663686+00:00,1419908302.5025024,-33.45203219594688
2026-03-30T07:47:37.663686+00:00,1419910304.5045044,-34.247932975790675
2026-03-30T07:47:37.663686+00:00,1419912306.5065064,-33.66991116226611
2026-03-30T07:47:37.663686+00:00,1419914308.5085084,-33.58848436390033
2026-03-30T07:47:37.663686+00:00,1419916310.5105104,-32.03659605256538
2026-03-30T07:47:37.663686+00:00,1419918312.5125124,-33.273079305263856
2026-03-30T07:47:37.663686+00:00,1419920314.5145144,-33.4372042115748
2026-03-30T07:47:37.663686+00:00,1419922316.5165164,-34.419049005771214
2026-03-30T07:47:37.663686+00:00,1419924318.5185184,-32.79311641661149
2026-03-30T07:47:37.663686+00:00,1419926320.5205204,-34.327638288112915
2026-03-30T07:47:37.663686+00:00,1419928322.5225224,-34.036424732625555
2026-03-30T07:47:37.663686+00:00,1419930324.5245245,-35.19042226471159
2026-03-30T07:47:37.663686+00:00,1419932326.5265265,-33.817326031131785
2026-03-30T07:47:37.663686+00:00,1419934328.5285285,-32.77146434521638
2026-03-30T07:47:37.663686+00:00,1419936330.5305305,-33.43598024949913
2026-03-30T07:47:37.663686+00:00,1419938332.5325325,-33.53590993921305
2026-03-30T07:47:37.663686+00:00,1419940334.5345345,-32.08091864897592
2026-03-30T07:47:37.663686+00:00,1419942336.5365365,-32.29470325697297
2026-03-30T07:47:37.663686+00:00,1419944338.5385385,-31.998614780858674
2026-03-30T07:47:37.663686+00:00,1419946340.5405405,-34.7858782155008
2026-03-30T07:47:37.663686+00:00,1419948342.5425425,-33.5320577938412
2026-03-30T07:47:37.663686+00:00,1419950344.5445445,-33.864810991478954
2026-03-30T07:47:37.663686+00:00,1419952346.5465465,-31.915835690924478
2026-03-30T07:47:37.663686+00:00,1419954348.5485485,-32.607933575379995
2026-03-30T07:47:37.663686+00:00,1419956350.5505505,-34.32963769072079
2026-03-30T07:47:37.663686+00:00,1419958352.5525525,-32.52570212574467
2026-03-30T07:47:37.663686+00:00,1419960354.5545545,-34.73805901753652
2026-03-30T07:47:37.663686+00:00,1419962356.5565565,-31.429452764272295
2026-03-30T07:47:37.663686+00:00,1419964358.5585585,-32.35961789371859
2026-03-30T07:47:37.663686+00:00,1419966360.5605605,-34.394292495071674
2026-03-30T07:47:37.663686+00:00,1419968362.5625625,-32.504345588547515
2026-03-30T07:47:37.663686+00:00,1419970364.5645645,-33.514059123002546
2026-03-30T07:47:37.663686+00:00,1419972366.5665665,-32.059683263703086
2026-03-30T07:47:37.663686+00:00,1419974368.5685685,-32.96395988645782
2026-03-30T07:47:37.663686+00:00,1419976370.5705705,-32.05746199653209
2026-03-30T07:47:37.663686+00:00,1419978372.5725725,-31.215875941647976
2026-03-30T07:47:37.663686+00:00,1419980374.5745745,-33.596834982795976
2026-03-30T07:47:37.663686+00:00,1419982376.5765765,-32.90532683674234
2026-03-30T07:47:37.663686+00:00,1419984378.5785785,-32.21864352637259
2026-03-30T07:47:37.663686+00:00,1419986380.5805805,-33.278036780529995
2026-03-30T07:47:37.663686+00:00,1419988382.5825825,-32.30535055186177
2026-03-30T07:47:37.663686+00:00,1419990384.5845845,-32.3963314016576
2026-03-30T07:47:37.663686+00:00,1419992386.5865865,-34.74115290562375
2026-03-30T07:47:37.663686+00:00,1419994388.5885885,-36.16034475945641
2026-03-30T07:47:37.663686+00:00,1419996390.5905905,-32.48780120629782
2026-03-30T07:47:37.663686+00:00,1419998392.5925925,-33.71251898629259
2026-03-30T07:47:37.663686+00:00,1420000394.5945945,-33.28237911818081
2026-03-30T07:47:37.663686+00:00,1420002396.5965965,-32.63598747055148
2026-03-30T07:47:37.663686+00:00,1420004398.5985985,-32.15420321012726
2026-03-30T07:47:37.663686+00:00,1420006400.6006007,-34.05123577559559
2026-03-30T07:47:37.663686+00:00,1420008402.6026027,-33.387347247787964
2026-03-30T07:47:37.663686+00:00,1420010404.6046047,-32.156076371652496
2026-03-30T07:47:37.663686+00:00,1420012406.6066067,-33.05614341540106
2026-03-30T07:47:37.663686+00:00,1420014408.6086087,-31.35808916912984
2026-03-30T07:47:37.663686+00:00,1420016410.6106107,-32.79092490475246
2026-03-30T07:47:37.663686+00:00,1420018412.6126127,-32.84483505555379
2026-03-30T07:47:37.663686+00:00,1420020414.6146147,-32.53475811436078
2026-03-30T07:47:37.663686+00:00,1420022416.6166167,-32.077492248021464
2026-03-30T07:47:37.663686+00:00,1420024418.6186187,-33.29835164334448
2026-03-30T07:47:37.663686+00:00,1420026420.6206207,-34.239406735636656
2026-03-30T07:47:37.663686+00:00,1420028422.6226227,-34.691226069132476
2026-03-30T07:47:37.663686+00:00,1420030424.6246247,-32.342037920381486
2026-03-30T07:47:37.663686+00:00,1420032426.6266267,-32.42063839212737
2026-03-30T07:47:37.663686+00:00,1420034428.6286287,-31.834942750558266
2026-03-30T07:47:37.663686+00:00,1420036430.6306307,-32.29842479117912
2026-03-30T07:47:37.663686+00:00,1420038432.6326327,-33.30327811697818
2026-03-30T07:47:37.663686+00:00,1420040434.6346347,-33.898382346630974
2026-03-30T07:47:37.663686+00:00,1420042436.6366367,-33.72942653181342
